"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","A","A","Correct","1.0","1.0"
"q3","A","A","Correct","1.0","2.0"
"q4","C","A","Incorrect","0.0","2.0"
"q5","D","A","Incorrect","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","A","A","Correct","1.0","1.0"
"q3","A","A","Correct","1.0","2.0"
"q4","C","A","Incorrect","0.0","2.0"
"q5","D","A","Incorrect","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","A","A","Correct","1.0","1.0"
"q3","A","A","Correct","1.0","2.0"
"q4","C","A","Incorrect","0.0","2.0"
"q5","D","A","Incorrect","0.0","2.0"
