"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","D","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","D","A","Incorrect","0.0","0.0"
"q5","D","A","Incorrect","0.0","0.0"
"q6","C","B","Incorrect","0.0","0.0"
"q7","C","B","Incorrect","0.0","0.0"
"q8","C","B","Incorrect","0.0","0.0"
"q9","C","B","Incorrect","0.0","0.0"
"q10","B","B","Correct","1.0","1.0"
"q11","B","C","Incorrect","0.0","1.0"
"q12","B","C","Incorrect","0.0","1.0"
"q13","B","C","Incorrect","0.0","1.0"
"q14","A","C","Incorrect","0.0","1.0"
"q15","A","C","Incorrect","0.0","1.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","B","B","Correct","1.0","1.0"
"q8","C","B","Incorrect","0.0","1.0"
"q9","B","B","Correct","1.0","2.0"
"q10","C","B","Incorrect","0.0","2.0"
"q11","","C","Unmarked","0.0","2.0"
"q12","","C","Unmarked","0.0","2.0"
"q13","","C","Unmarked","0.0","2.0"
"q14","","C","Unmarked","0.0","2.0"
"q15","","C","Unmarked","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","B","B","Correct","1.0","1.0"
